Episode Number,Episode Title,Fact Number,Presenter,Fact,Start Time,Publish Date,Episode Slug
,13: No Such Thing As A Funny Nazi,2,Dan Schreiber,"The Philippines Basketball Association, which is the second oldest in the world after the NBA, have 10 teams in total, and their names include The Rain and Shine Elasto Painters, The San Miguel Beer Men, and Talk and Text, Troopang Textors.",00:08:53,2022-07-25T10:33:59.000Z,13-no-such-thing-as-a-funny-nazi
,13: No Such Thing As A Funny Nazi,3,Anna Ptaszynski,"If you get a zebrafish drunk and put him in a tank with other zebrafish, the sober ones will follow him around.",00:18:19,2022-07-25T10:33:59.000Z,13-no-such-thing-as-a-funny-nazi
,13: No Such Thing As A Funny Nazi,4,Andrew Hunter Murray,The youngest woolly mammoths are older than the oldest Egyptian pharaohs.,00:24:28,2022-07-25T10:33:59.000Z,13-no-such-thing-as-a-funny-nazi
,14: No Such Thing As A Dirty Pair Of Jeans,1,James Harkin,"The CEO of Levi's, Chip Bergh, hasn't washed his jeans in more than a year.",00:00:48,2022-07-25T10:36:36.000Z,14-no-such-thing-as-a-dirty-pair-of-jeans
,14: No Such Thing As A Dirty Pair Of Jeans,2,Dan Schreiber,"The first successful transatlantic flight, which happened in 1919, was made by two guys from Manchester who at one point were flying sideways at a 90-degree angle to the surface of the ocean.",00:07:36,2022-07-25T10:36:36.000Z,14-no-such-thing-as-a-dirty-pair-of-jeans
,14: No Such Thing As A Dirty Pair Of Jeans,3,Anna Ptaszynski,"In 2007, a woman called Evan Latimer inherited Napoleon's penis from her father.",00:17:26,2022-07-25T10:36:36.000Z,14-no-such-thing-as-a-dirty-pair-of-jeans
,14: No Such Thing As A Dirty Pair Of Jeans,4,Andrew Hunter Murray,"To say 'I don't care about something,' a German person has the option of saying 'It's sausage to me' or in German, 'Das ist mir Wurst.'",00:22:47,2022-07-25T10:36:36.000Z,14-no-such-thing-as-a-dirty-pair-of-jeans
,15: No Such Thing As A Bulge In Ken's Groin,1,James Harkin,The Aztecs wore necklaces made from popcorn.,00:00:40,2022-07-25T12:44:07.000Z,15-no-such-thing-as-a-bulge-in-ken-s-groin
,15: No Such Thing As A Bulge In Ken's Groin,2,Anna Ptaszynski,"In 2011, China tried to pass off a scene from the film Top Gun as footage of its own Air Force.",00:06:48,2022-07-25T12:44:07.000Z,15-no-such-thing-as-a-bulge-in-ken-s-groin
,15: No Such Thing As A Bulge In Ken's Groin,3,Dan Schreiber,"In 2003, somebody misplaced the master keys to the Lawrence Livermore National Laboratory, which is the home of the fastest computer in the world.",00:13:13,2022-07-25T12:44:07.000Z,15-no-such-thing-as-a-bulge-in-ken-s-groin
,15: No Such Thing As A Bulge In Ken's Groin,4,Andrew Hunter Murray,Ken is officially an accessory to Barbie.,00:20:37,2022-07-25T12:44:07.000Z,15-no-such-thing-as-a-bulge-in-ken-s-groin
,16: No Such Thing As A Ghost In Poland,1,James Harkin,The world record for most kicks to one's own head is 127 in a minute.,00:00:42,2022-07-25T12:44:48.000Z,16-no-such-thing-as-a-ghost-in-poland
,16: No Such Thing As A Ghost In Poland,2,Anne Miller,There is a bear in the Pyrenees who is facing castration because he has fathered nearly all the other bears.,00:07:59,2022-07-25T12:44:48.000Z,16-no-such-thing-as-a-ghost-in-poland
,16: No Such Thing As A Ghost In Poland,3,Dan Schreiber,Poland's only official ghost hunter thinks that ghosts have given up on haunting humans.,00:14:03,2022-07-25T12:44:48.000Z,16-no-such-thing-as-a-ghost-in-poland
,16: No Such Thing As A Ghost In Poland,4,Anna Ptaszynski,Fallout from the Cold War has been used to solve murders.,00:20:59,2022-07-25T12:44:48.000Z,16-no-such-thing-as-a-ghost-in-poland
,17: No Such Thing As A Bassoon In A Football Stadium,1,Anna Ptaszynski,The first known football chant was composed by Elgar.,00:01:02,2022-07-25T12:45:56.000Z,17-no-such-thing-as-a-bassoon-in-a-football-stadium
,17: No Such Thing As A Bassoon In A Football Stadium,2,Dan Schreiber,Eric Cantona was raised in a cave.,00:07:32,2022-07-25T12:45:56.000Z,17-no-such-thing-as-a-bassoon-in-a-football-stadium
,17: No Such Thing As A Bassoon In A Football Stadium,3,James Harkin,"In the first World Cup final in 1930, the two teams Uruguay and Argentina couldn't agree on the size of ball to use, so they used Argentina's small ball in the first half and Uruguay's big ball in the second half.",00:15:03,2022-07-25T12:45:56.000Z,17-no-such-thing-as-a-bassoon-in-a-football-stadium
,17: No Such Thing As A Bassoon In A Football Stadium,4,John Lloyd,"FIFA, the federation, international football association, has more members than the UN.",00:23:48,2022-07-25T12:45:56.000Z,17-no-such-thing-as-a-bassoon-in-a-football-stadium
,18: No Such Thing As A Kilt On The Battlefield,1,Rich Turner,"When Neil Armstrong stepped on the moon and said ""That's one small step for a man,"" he was wearing ladies underwear.",00:03:11,2022-07-25T12:46:47.000Z,18-no-such-thing-as-a-kilt-on-the-battlefield
,18: No Such Thing As A Kilt On The Battlefield,2,Dan Schreiber,"In 1963, Muhammad Ali released a stand-up comedy album.",00:11:50,2022-07-25T12:46:47.000Z,18-no-such-thing-as-a-kilt-on-the-battlefield
,18: No Such Thing As A Kilt On The Battlefield,3,Anna Ptaszynski,"In 1325 in Italy, war was declared and 2000 people were killed because of a stolen bucket.",00:17:53,2022-07-25T12:46:47.000Z,18-no-such-thing-as-a-kilt-on-the-battlefield
,18: No Such Thing As A Kilt On The Battlefield,4,James Harkin,There is a group of chimpanzees in Zambia who wear a blade of grass in their left ear as a fashion statement.,00:24:17,2022-07-25T12:46:47.000Z,18-no-such-thing-as-a-kilt-on-the-battlefield
,19: No Such Thing As Unicorn Stew,1,James Harkin,"Kangaroos have three or five legs, depending on how you look at it, as their tail counts as a leg according to a new study.",00:00:42,2022-07-25T12:47:25.000Z,19-no-such-thing-as-unicorn-stew
,19: No Such Thing As Unicorn Stew,2,Anna Ptaszynski,"During the financial crisis of 1720, Parliament called upon stockbrokers to be sewn into sacks filled with poisonous snakes and thrown into the Thames.",00:10:36,2022-07-25T12:47:25.000Z,19-no-such-thing-as-unicorn-stew
,19: No Such Thing As Unicorn Stew,3,Andrew Hunter Murray,There are three times as many estate agents in the UK as there are members of the armed forces.,00:17:50,2022-07-25T12:47:25.000Z,19-no-such-thing-as-unicorn-stew
,19: No Such Thing As Unicorn Stew,4,Dan Schreiber,"Medieval manuscripts are littered with drawings of warfare between snails and knights, and the amazing thing is no one knows why, it's a total mystery.",00:23:24,2022-07-25T12:47:25.000Z,19-no-such-thing-as-unicorn-stew
,2: No Such Thing As Death By Aardvark,1,Anna Ptaszynski,The first ever sandwich that we know about contained wine.,00:01:03,2022-07-25T10:03:05.000Z,2-no-such-thing-as-death-by-aardvark
,2: No Such Thing As Death By Aardvark,2,James Harkin,"In 2003, three people in Mexico died of acne.",00:09:17,2022-07-25T10:03:05.000Z,2-no-such-thing-as-death-by-aardvark
,2: No Such Thing As Death By Aardvark,3,Andrew Hunter Murray,The first contact lenses cost as much as a car.,00:24:50,2022-07-25T10:03:05.000Z,2-no-such-thing-as-death-by-aardvark
,2: No Such Thing As Death By Aardvark,4,Dan Schreiber,"This week, I bought a copy of ""This Is Improbable 2"" by Mark Abrams.",00:14:47,2022-07-25T10:03:05.000Z,2-no-such-thing-as-death-by-aardvark
,20: No Such Thing As A Dangerous Daffodil,1,James Harkin,The most painful place to be stung by a bee is your nostril.,00:00:45,2022-07-25T12:48:00.000Z,20-no-such-thing-as-a-dangerous-daffodil
,20: No Such Thing As A Dangerous Daffodil,2,Dan Schreiber,"Walt Disney used to eat breakfast like all of us, but his favorite breakfast was fresh doughnuts dunked in scotch.",00:09:53,2022-07-25T12:48:00.000Z,20-no-such-thing-as-a-dangerous-daffodil
,20: No Such Thing As A Dangerous Daffodil,3,Anna Ptaszynski,"The French used to call arsenic ""poudre de succession"" or ""inheritance powder"" because it was used in so many murders.",00:16:19,2022-07-25T12:48:00.000Z,20-no-such-thing-as-a-dangerous-daffodil
,20: No Such Thing As A Dangerous Daffodil,4,Andrew Hunter Murray,Shouting at drivers improves their driving.,00:23:31,2022-07-25T12:48:00.000Z,20-no-such-thing-as-a-dangerous-daffodil
,21: No Such Thing As Testicle-Retracting Sumo Wrestlers,1,Anna Ptaszynski,Made in Germany product labels were originally intended to put people off buying the product.,00:00:44,2022-07-25T12:49:56.000Z,21-no-such-thing-as-testicle-retracting-sumo-wrestlers
,21: No Such Thing As Testicle-Retracting Sumo Wrestlers,2,Dan Schreiber,"In 1991, a professor at Iowa State University proposed that we could solve virtually every problem of human existence by blowing up the moon.",00:07:10,2022-07-25T12:49:56.000Z,21-no-such-thing-as-testicle-retracting-sumo-wrestlers
,21: No Such Thing As Testicle-Retracting Sumo Wrestlers,3,James Harkin,"In New York City until 1925, drivers going east or west stopped to the number light and drove on green, while drivers going north or south drove on the number light and stopped on green.",00:17:12,2022-07-25T12:49:56.000Z,21-no-such-thing-as-testicle-retracting-sumo-wrestlers
,21: No Such Thing As Testicle-Retracting Sumo Wrestlers,4,Andrew Hunter Murray,There are companies which lasso icebergs to stop them hitting oil rigs.,00:24:53,2022-07-25T12:49:56.000Z,21-no-such-thing-as-testicle-retracting-sumo-wrestlers
,22: No Such Thing As A Magic Camel Filter,1,James Harkin,"In 1903, a man called W. Reginald Bray posted himself.",00:00:43,2022-07-25T12:50:37.000Z,22-no-such-thing-as-a-magic-camel-filter
,22: No Such Thing As A Magic Camel Filter,2,Dan Schreiber,The oldest edible ham has just celebrated its 112th birthday.,00:08:48,2022-07-25T12:50:37.000Z,22-no-such-thing-as-a-magic-camel-filter
,22: No Such Thing As A Magic Camel Filter,3,Anna Ptaszynski,"Orangutans like playing on iPads, but gorillas do not.",00:15:12,2022-07-25T12:50:37.000Z,22-no-such-thing-as-a-magic-camel-filter
,22: No Such Thing As A Magic Camel Filter,4,Andrew Hunter Murray,"The 1888 Encyclopedia Britannica entry for Wales reads ""See England.""",00:20:34,2022-07-25T12:50:37.000Z,22-no-such-thing-as-a-magic-camel-filter
,23: No Such Thing As A Yawning Psychopath,1,Anna Ptaszynski,Alexander the Great banned beards in battle to combat beard pulling.,00:00:36,2022-07-25T12:51:15.000Z,23-no-such-thing-as-a-yawning-psychopath
,23: No Such Thing As A Yawning Psychopath,2,Dan Schreiber,Psychopaths don't experience contagious yawning like the rest of us.,00:09:43,2022-07-25T12:51:15.000Z,23-no-such-thing-as-a-yawning-psychopath
,23: No Such Thing As A Yawning Psychopath,3,James Harkin,The Big Bang was quieter than a Motorhead concert.,00:16:16,2022-07-25T12:51:15.000Z,23-no-such-thing-as-a-yawning-psychopath
,23: No Such Thing As A Yawning Psychopath,4,Alex Bell,Pixar accidentally deleted Toy Story 2 halfway through making it.,00:21:51,2022-07-25T12:51:15.000Z,23-no-such-thing-as-a-yawning-psychopath
,24: No Such Thing As A Malicious Robot,1,Alex Bell,"When he was bored, Calvin Coolidge used to ring a bell to summon his bodyguards and then hide from them under the Oval Office desk.",00:00:41,2022-07-25T12:51:50.000Z,24-no-such-thing-as-a-malicious-robot
,24: No Such Thing As A Malicious Robot,2,Dan Schreiber,"Until 2011, the sun was only in theory a sphere, but it's now confirmed to be a sphere.",00:08:04,2022-07-25T12:51:50.000Z,24-no-such-thing-as-a-malicious-robot
,24: No Such Thing As A Malicious Robot,3,Anna Ptaszynski,There are some birds' nests that contain over a hundred rooms and are so heavy that they cause trees to fall down.,00:14:43,2022-07-25T12:51:50.000Z,24-no-such-thing-as-a-malicious-robot
,24: No Such Thing As A Malicious Robot,4,James Harkin,The worst baseball team in South Korea has replaced its supporters with robots.,00:21:25,2022-07-25T12:51:50.000Z,24-no-such-thing-as-a-malicious-robot
,25: No Such Thing As A Randy Rat In Polyester Pants,1,Anna Ptaszynski,Rats wearing polyester pants can't get directions.,00:00:38,2022-07-25T12:52:25.000Z,25-no-such-thing-as-a-randy-rat-in-polyester-pants
,25: No Such Thing As A Randy Rat In Polyester Pants,2,Andrew Hunter Murray,"During the First World War, entertainment for the troops included organised pillow fights, wheelbarrow races and wrestling on the backs of mules.",00:06:05,2022-07-25T12:52:25.000Z,25-no-such-thing-as-a-randy-rat-in-polyester-pants
,25: No Such Thing As A Randy Rat In Polyester Pants,3,James Harkin,"The atmosphere on Venus is so hot that if you took a pizza out of a freezer, it would cook in three seconds.",00:12:07,2022-07-25T12:52:25.000Z,25-no-such-thing-as-a-randy-rat-in-polyester-pants
,25: No Such Thing As A Randy Rat In Polyester Pants,4,Dan Schreiber,"In Iceland, there is a phone app that tells you if you're related to the person that you're hitting on.",00:19:54,2022-07-25T12:52:25.000Z,25-no-such-thing-as-a-randy-rat-in-polyester-pants
,26: No Such Thing As A Yeti Fact,1,Simon Rich,"Coco the gorilla, who knows sign language, has owned and cared for three pet cats over her lifetime.",00:01:42,2022-07-25T12:53:16.000Z,26-no-such-thing-as-a-yeti-fact
,26: No Such Thing As A Yeti Fact,2,Dan Schreiber,"According to Yeti experts, it is easier to escape a female Yeti than a male Yeti because female Yetis have such long dangling boobs that before they can chase you, they need to chuck them over their shoulders like a scarf.",00:11:06,2022-07-25T12:53:16.000Z,26-no-such-thing-as-a-yeti-fact
,26: No Such Thing As A Yeti Fact,3,James Harkin,"The Kama Sutra suggests 64 arts to practice alongside sex, including solving word puzzles and teaching birds how to talk.",00:19:19,2022-07-25T12:53:16.000Z,26-no-such-thing-as-a-yeti-fact
,26: No Such Thing As A Yeti Fact,4,Andrew Hunter Murray,There are more than 15 trillion tons of water above the Earth at any given moment.,00:31:21,2022-07-25T12:53:16.000Z,26-no-such-thing-as-a-yeti-fact
,27: No Such Thing As An Egg And Cress Portsmouth,1,Helen Zaltzman,"L-O-L, the acronym that people now use to signify the fact that they're weak-minded and words are inadequate for their own need, used to mean not laugh out loud or even lots of love but little old lady.",00:00:39,2022-07-25T12:54:02.000Z,27-no-such-thing-as-an-egg-and-cress-portsmouth
,27: No Such Thing As An Egg And Cress Portsmouth,2,Dan Schreiber,"According to researchers at Glasgow Caledonian University, listening to Billy Connolly can substantially increase your tolerance to pain.",00:08:42,2022-07-25T12:54:02.000Z,27-no-such-thing-as-an-egg-and-cress-portsmouth
,27: No Such Thing As An Egg And Cress Portsmouth,3,Anna Ptaszynski,The first woman to cycle around the world learned to ride a bike the day before she set off.,00:13:29,2022-07-25T12:54:02.000Z,27-no-such-thing-as-an-egg-and-cress-portsmouth
,27: No Such Thing As An Egg And Cress Portsmouth,4,Andrew Hunter Murray,"When squirrels are attacked by snakes, they increase their blood pressure so much that the tail gives off more infrared radiation and it makes them look bigger.",00:21:41,2022-07-25T12:54:02.000Z,27-no-such-thing-as-an-egg-and-cress-portsmouth
,28: No Such Thing As A Man-Eating Clam,1,Andrew Hunter Murray,Over 100 people used to watch King Louis XIV get up and get dressed every day.,00:00:41,2022-07-25T12:54:45.000Z,28-no-such-thing-as-a-man-eating-clam
,28: No Such Thing As A Man-Eating Clam,2,James Harkin,There is an original Picasso that no one will ever see because it was eaten by the dog.,00:14:18,2022-07-25T12:54:45.000Z,28-no-such-thing-as-a-man-eating-clam
,28: No Such Thing As A Man-Eating Clam,3,Dan Schreiber,"During World War II, the US Navy diving manual contained detailed instructions for what to do if eaten by a giant clam.",00:16:17,2022-07-25T12:54:45.000Z,28-no-such-thing-as-a-man-eating-clam
,28: No Such Thing As A Man-Eating Clam,4,Anna Ptaszynski,100 used to be 120.,00:22:48,2022-07-25T12:54:45.000Z,28-no-such-thing-as-a-man-eating-clam
,29: No Such Thing As Terrestrial Sweetcorn,1,James Harkin,The head of the International Chess Federation believes that chess was brought to earth by aliens.,00:00:43,2022-07-25T12:55:30.000Z,29-no-such-thing-as-terrestrial-sweetcorn
,29: No Such Thing As Terrestrial Sweetcorn,2,Dan Schreiber,The Greenland shark is so slow that it basically needs all of its food to be asleep in order to eat it.,00:11:09,2022-07-25T12:55:30.000Z,29-no-such-thing-as-terrestrial-sweetcorn
,29: No Such Thing As Terrestrial Sweetcorn,3,Anna Ptaszynski,"In the 19th century, you could be committed to an asylum for novel reading.",00:18:02,2022-07-25T12:55:30.000Z,29-no-such-thing-as-terrestrial-sweetcorn
,29: No Such Thing As Terrestrial Sweetcorn,4,Andrew Hunter Murray,"The Japanese Yakuza crime syndicate has its own website, which has a theme tune designed to attract new members.",00:24:23,2022-07-25T12:55:30.000Z,29-no-such-thing-as-terrestrial-sweetcorn
,3: No Such Thing As The Middle Ages,1,Greg Jenner,"The earliest known dentistry is 9,000 years old, with evidence of teeth being drilled in what is now modern-day Pakistan.",00:02:25,2022-07-25T10:05:43.000Z,3-no-such-thing-as-the-middle-ages
,3: No Such Thing As The Middle Ages,2,Dan Schreiber,"A theory from Dr. Hans Ulrich Neymitz suggests that the Middle Ages never happened, known as the phantom time theory.",00:09:19,2022-07-25T10:05:43.000Z,3-no-such-thing-as-the-middle-ages
,3: No Such Thing As The Middle Ages,3,Alex Edelman,"The most medically indispensable sea creature in the United States is the horseshoe crab, whose blood is used to test for bacterial endotoxins in new drugs.",00:15:22,2022-07-25T10:05:43.000Z,3-no-such-thing-as-the-middle-ages
,3: No Such Thing As The Middle Ages,4,James Harkin,"There are 28 people known to have slept in the same bedroom as Queen Elizabeth I, and they were all women.",00:22:31,2022-07-25T10:05:43.000Z,3-no-such-thing-as-the-middle-ages
,30: No Such Thing As A Song In The Sound Of Music,1,James Harkin,The first BBC radio presenter with a northern accent was given the job to make it more difficult for the Nazis to impersonate news readers.,00:01:28,2022-07-25T12:56:22.000Z,30-no-such-thing-as-a-song-in-the-sound-of-music
,30: No Such Thing As A Song In The Sound Of Music,2,Dan Schreiber,"In China, if you want to empty a building full of people, you play the song 'Going Home' by Kenny G.",00:17:01,2022-07-25T12:56:22.000Z,30-no-such-thing-as-a-song-in-the-sound-of-music
,30: No Such Thing As A Song In The Sound Of Music,3,Anna Ptaszynski,The two leading paleontologists in the 19th century used to destroy their fossil sites after excavating them so that their rival wasn't able to find anything on them.,00:29:45,2022-07-25T12:56:22.000Z,30-no-such-thing-as-a-song-in-the-sound-of-music
,30: No Such Thing As A Song In The Sound Of Music,4,Andrew Hunter Murray,"Mozilla Firefox translates its computer systems into hundreds of different languages, but lots of the metaphors don't translate, so in Senegal, in the Fula language, a computer crash is known as a hooky, which means a cow falling over but not dying.",00:40:40,2022-07-25T12:56:22.000Z,30-no-such-thing-as-a-song-in-the-sound-of-music
,31: No Such Thing As A Snake In My Pie,1,James Harkin,"In the 17th century, there was a prophet called Dorothy Harling, who would cure you of your sins by urinating on the afflicted part of your body.",00:00:42,2022-07-25T12:57:31.000Z,31-no-such-thing-as-a-snake-in-my-pie
,31: No Such Thing As A Snake In My Pie,2,Anna Ptaszynski,"Despite the fact that homosexuality is completely illegal in South Sudan, a woman can have a female husband and a child can have a female father.",00:08:29,2022-07-25T12:57:31.000Z,31-no-such-thing-as-a-snake-in-my-pie
,31: No Such Thing As A Snake In My Pie,3,Dan Schreiber,"Tommy Flowers, the man responsible for the first ever computer, Colossus, discovered that the first ever bit of IT advice was to not turn it off and then turn it back on again, as turning it on and off was what was blowing it up.",00:17:28,2022-07-25T12:57:31.000Z,31-no-such-thing-as-a-snake-in-my-pie
,31: No Such Thing As A Snake In My Pie,4,Andrew Hunter Murray,A couple of botanists from Kew Gardens recently checked a £1.29 bag of porcini mushrooms from the supermarket and found three species which were previously unknown to science.,00:24:02,2022-07-25T12:57:31.000Z,31-no-such-thing-as-a-snake-in-my-pie
